Date,CHINOOK,JACK,ALLCHINOOK,SCHUM,FCHUM,COHO,PINK,CISCO,BROAD,HUMPBACK,SHEEFISH,OTHER,ALLOTHER
8/13/2020,2971,0,2971,0,308771,53603,78325,1025638,608,126267,920,1190,1154623
8/14/2020,0,0,0,0,76178,276088,607486,294156,6505,265306,0,0,565967
8/15/2020,0,0,0,0,1749889,762696,105935,534236,2331,1407604,0,17609,1961780
8/16/2020,0,0,0,0,42501,124761,196087,459512,0,520916,0,13678,994106
8/17/2020,42098,0,42098,0,2323967,341372,48708,207003,41982,462732,92562,0,804279
8/18/2020,0,0,0,0,2575412,738984,120816,880557,0,149187,0,334290,1364034
8/19/2020,0,0,0,0,573511,409804,0,211797,0,194419,0,3221,409437
8/20/2020,0,0,0,0,225391,520115,95075,551605,26327,97172,0,42039,717143
8/21/2020,0,0,0,0,34104,919181,0,1618230,35833,60303,7144,3357,1724867
8/22/2020,0,0,0,0,362186,414166,21889,181555,0,95734,27376,21367,326032
8/23/2020,0,0,0,0,590751,170973,0,741225,17626,57010,3259,51139,870259
8/24/2020,0,0,0,0,222897,230034,3340,1136816,13553,109179,1689,50006,1311243
8/25/2020,0,0,0,0,16659800,723599,7570,8206742,2616,782894,3215,425801,9421268
8/26/2020,0,0,0,0,2536217,1415176,16800,1633257,4943,828877,40058,268208,2775343
8/27/2020,0,0,0,0,136866,2137070,0,2389630,89267,147308,6929,14274,2647408
8/28/2020,0,0,0,0,108831,953017,0,995053,0,319464,11322,179553,1505392
8/29/2020,0,0,0,0,318192,959625,3482,1279433,26497,156062,31598,92423,1586013
8/30/2020,0,0,0,0,1694805,674822,0,850353,0,0,12038,0,862391
8/31/2020,0,0,0,0,772969,372983,0,425225,5212,154928,1490,2962,589817
9/1/2020,0,0,0,0,372439,979698,0,297644,0,12714,41040,18767,370165
9/2/2020,0,0,0,0,167760,381831,0,65316,4945,59559,25520,45767,201107
9/3/2020,0,0,0,0,190715,461996,0,1661111,53495,43220,36242,42194,1836262
9/4/2020,0,0,0,0,149357,289360,0,126837,3346,666,30300,72343,233492
9/5/2020,0,0,0,0,135980,278628,0,126385,21732,11649,28966,20094,208826
9/6/2020,0,0,0,0,66434,397802,0,1683300,13228,424700,23803,0,2145031
9/7/2020,0,0,0,0,34763,812595,0,888794,0,25111,34464,2948,951317
