Year,stbreak,group,percent
2010,1,11,0.17200172
2011,1,11,0.114480094
2012,1,11,0.100132252
2013,1,11,0.501002004
2014,1,11,0.217111176
2015,1,11,0.1800018
2016,1,11,0.161
2017,1,11,0.141538496
2018,1,11,0.144285022
2019,1,11,0.13099738
2008,2,11,0.375796816
2009,2,11,0.204946537
2010,2,11,0.0899991
2011,2,11,0.181592838
2012,2,11,0.235210256
2013,2,11,0.500774058
2014,2,11,0.293389828
2015,2,11,1.382
2016,2,11,0.11300226
2017,2,11,0.15199848
2018,2,11,0.162227223
2019,2,11,0.261650838
2005,3,11,0.200040008
2006,3,11,0.365345291
2007,3,11,0.180054016
2008,3,11,0.582162275
2009,3,11,0.159010307
2010,3,11,1.164499525
2011,3,11,0.825062036
2012,3,11,0.295519398
2013,3,11,0.617575391
2014,3,11,0.337062786
2015,3,11,1.322420257
2016,3,11,2.55597444
2017,3,11,2.07302073
2018,3,11,0.267828542
2019,3,11,0.300339103
2005,4,11,24.4673402
2006,4,11,2.840852256
2007,4,11,1.490447134
2008,4,11,4.101199083
2009,4,11,1.153882101
2010,4,11,2.79175786
2011,4,11,3.236398397
2012,4,11,2.202202202
2013,4,11,5.467748165
2014,4,11,11.29349111
2015,4,11,1.032
2016,4,11,4.765
2017,4,11,0.62499375
2018,4,11,0.17499825
2019,4,11,0.425
2004,5,11,34.74389756
2005,5,11,33.38433505
2006,5,11,33.45076512
2007,5,11,7.192157647
2008,5,11,18.4
2009,5,11,7.992007992
2010,5,11,21.506
2011,5,11,21.04848816
2012,5,11,26.92638833
2013,5,11,32.8
2014,5,11,47.92947929
2015,5,11,24.7402115
2016,5,11,25.84048171
2017,5,11,29.05597838
2018,5,11,9.078684402
2019,5,11,7.672650641
2004,6,11,34.12587116
2005,6,11,46.26615957
2006,6,11,42.4969988
2007,6,11,12.16969906
2008,6,11,38.93893894
2009,6,11,26.9
2010,6,11,15.972
2011,6,11,53.27
2012,6,11,43.78281596
2013,6,11,30.28240076
2014,6,11,36.043
2015,6,11,36.70381136
2016,6,11,39.81739817
2017,6,11,40.52008592
2018,6,11,27.35
2019,6,11,19.083
2004,7,11,24.2256694
2005,7,11,49.51358632
2006,7,11,33.42481464
2007,7,11,38.39226806
2008,7,11,35.4
2009,7,11,39.63963964
2010,7,11,22.40382461
2011,7,11,42.70683881
2012,7,11,30.88078482
2013,7,11,25.23704034
2014,7,11,28.40191155
2015,7,11,39.31024546
2016,7,11,31.78884857
2017,7,11,37.11792898
2018,7,11,37.07938066
2019,7,11,20.54855931
2004,8,11,21.45919962
2005,8,11,33.43002901
2006,8,11,35.13365652
2007,8,11,22.87237492
2008,8,11,32.15095702
2009,8,11,31.16883117
2010,8,11,19.70282736
2011,8,11,31.35600385
2012,8,11,30.61991712
2013,8,11,21.97368395
2014,8,11,28.19655295
2015,8,11,24.03391724
2016,8,11,29.3061281
2017,8,11,34.98040988
2018,8,11,28.89492547
2019,8,11,34.66501495
2004,9,11,24.25238737
2005,9,11,33.43002901
2006,9,11,12.2736821
2007,9,11,10.09419478
2008,9,11,24.79202239
2009,9,11,11.62324649
2010,9,11,11.8698813
2011,9,11,14.63547886
2012,9,11,11.6
2013,9,11,10.87889121
2014,9,11,18.28181718
2015,9,11,17.347
2016,9,11,25.75325753
2017,9,11,14.96801577
2018,9,11,14.13141145
2019,9,11,18.331
2008,1,19,0.138996478
2009,1,19,0.358064967
2010,1,19,0.19700197
2011,1,19,0.300996977
2012,1,19,0.166258005
2013,1,19,0.100200401
2014,1,19,0.207776753
2015,1,19,0.1800018
2016,1,19,0.218
2017,1,19,0.220301928
2018,1,19,0.264984982
2019,1,19,0.20899582
2008,2,19,0.192004486
2009,2,19,0.107439671
2010,2,19,0.31099689
2011,2,19,0.210127564
2012,2,19,0.380383869
2013,2,19,0.145652905
2014,2,19,0.399890135
2015,2,19,0.319
2016,2,19,0.1700034
2017,2,19,0.22099779
2018,2,19,0.284803955
2019,2,19,0.230381417
2005,3,19,0.910182036
2006,3,19,0.612485907
2007,3,19,0.310093028
2008,3,19,0.321823322
2009,3,19,0.708826301
2010,3,19,0.231145104
2011,3,19,0.386791946
2012,3,19,0.338607648
2013,3,19,0.405279267
2014,3,19,0.377529551
2015,3,19,0.305722229
2016,3,19,0.20699793
2017,3,19,1.19201192
2018,3,19,0.335629433
2019,3,19,0.251524114
2005,4,19,14.15424627
2006,4,19,5.351605482
2007,4,19,2.290687206
2008,4,19,1.433957072
2009,4,19,2.198596846
2010,4,19,1.530724982
2011,4,19,5.690557115
2012,4,19,1.701701702
2013,4,19,5.324985959
2014,4,19,9.042267353
2015,4,19,0.241
2016,4,19,0.756
2017,4,19,0.64699353
2018,4,19,0.54399456
2019,4,19,0.698
2004,5,19,20.09803922
2005,5,19,19.96618041
2006,5,19,10.8801942
2007,5,19,5.431629489
2008,5,19,8.3
2009,5,19,5.894105894
2010,5,19,15.449
2011,5,19,9.784878149
2012,5,19,6.012147304
2013,5,19,16.3
2014,5,19,22.47622476
2015,5,19,12.48715528
2016,5,19,25.24376466
2017,5,19,14.58172449
2018,5,19,10.60021428
2019,5,19,5.459571821
2004,6,19,34.84362678
2005,6,19,22.14867982
2006,6,19,32.41296519
2007,6,19,16.7329566
2008,6,19,34.63463463
2009,6,19,27.8
2010,6,19,39.872
2011,6,19,28.72
2012,6,19,29.65917392
2013,6,19,38.13299503
2014,6,19,40.365
2015,6,19,27.84429212
2016,6,19,31.82131821
2017,6,19,24.95591113
2018,6,19,26.119
2019,6,19,33.719
2004,7,19,35.93713917
2005,7,19,32.2836878
2006,7,19,39.44234787
2007,7,19,34.16265854
2008,7,19,37.4
2009,7,19,28.52852853
2010,7,19,39.4123224
2011,7,19,40.44224615
2012,7,19,39.29111438
