"Date","CHINOOK","JACK","ALLCHINOOK","SCHUM","FCHUM","COHO","PINK","CISCO","BROAD","HUMPBACK","SHEEFISH","OTHER","ALLOTHER","TOTAL"
"07/22/2013",43123.408839,0,43123.408839,0,1302183.79555,0,51521.672251,452626.535513,0,334532.904757,5163.9798702,298.66253443,792622.08267463,2189450.95931463
"06/13/2013",0,0,0,97594.327643,0,0,0,28584.313317,0,0,251737.55088,0,280321.864197,377916.19184
"06/14/2013",0,0,0,97629.50134,0,0,0,28594.61531,0,0,251828.2789,0,280422.89421,378052.39555
"07/15/2013",0,0,0,10615785.76736,0,0,10420566.904,5117638.342103,0,543262.27618,81759.312429,183343.75304,5926003.683752,26962356.355112
"07/18/2013",0,0,0,4420403.21272,0,0,0,290729.241578,0,3881863.93315,0,0,4172593.174728,8592996.387448
"07/26/2013",0,0,0,0,44073391.72819,7306.4374742,0,34488647.684,0,4051610.98633,2011.4902831,0,38542270.1606131,82622968.3262773
"07/30/2013",0,0,0,0,641088.821341,0,691534.52276,510268.415594,0,5443374.23339,1063778.36359,0,7017421.012574,8350044.356675
"08/08/2013",0,0,0,0,3603773.59203,379310.680119,0,21437537.3596,0,18296919.5549,99305.232706,170628.325997,40004390.473203,43987474.745352
"08/11/2013",0,0,0,0,15888702.6774,3106410.7022,0,33935195.5554,0,10679058.932484,0,0,44614254.487884,63609367.867484
"08/12/2013",0,0,0,0,579233.328989,1118147.53001,0,16574376.8785,0,19920206.60897,0,20151.786292,36514735.273762,38212116.132761
"08/14/2013",0,0,0,0,752286196.959,206796.44295,0,31124286.92736,0,4113397.83297,0,31859.785618,35269544.545948,787762537.947898
"08/15/2013",0,0,0,0,189566240.244,68323125.8524,0,15044258.6979,0,2480670.24364,0,120172.03154,17645100.97308,275534467.06948
"08/16/2013",0,0,0,0,6274904.76653,18298159.01756,0,16523260.6785,0,2784758.6902,0,161294.597365,19469313.966065,44042377.750155
"08/17/2013",0,0,0,0,3198380.43229,14779779.043967,0,9537429.1974,0,1800138.36018,0,135334.670649,11472902.228229,29451061.704486
"08/18/2013",0,0,0,0,37302826.0406,788373.04465,0,10871176.2471,0,2155689.26798,168838.28987,12271.003117,13207974.808067,51299173.893317
"08/19/2013",0,0,0,0,147189484.1134,994774.560487,0,36973383.58262,0,8847056.6173,46698.33962,1135114.485331,47002253.024871,195186511.698758
"08/20/2013",0,0,0,0,189458635.0065,1442585.816319,0,43640783.459,0,10580799.79599,72689.963284,1912265.415183,56206538.633457,247107759.456276
"08/29/2013",0,0,0,0,3579342.492031,7014381.21487,0,1871697.44684,0,732453.406699,1052.279128,92239.263642,2697442.396309,13291166.10321
"08/30/2013",0,0,0,0,1069218.772471,1081631.36331,0,1455412.54332,0,1626038.29586,22262.618915,188855.346403,3292568.804498,5443418.940279
"08/31/2013",0,0,0,0,854844.686744,858751.57905,0,1111796.60228,0,1286070.183879,15803.556046,137575.470753,2551245.812958,4264842.078752
"09/01/2013",0,0,0,0,814574.52411,868496.56198,0,950475.16067,0,1191194.340907,16788.456726,132369.608312,2290827.566615,3973898.652705
"09/03/2013",0,0,0,0,857969.6245863,2869581.77599,0,488303.00785,0,346579.70827,4088.899175,64502.830309,903474.445604,4631025.8461803
"09/05/2013",0,0,0,0,1995085.067938,1275242.1045762,0,120809.89443,0,185811.030726,0,98106.227771,404727.152927,3675054.3254412
