"Year","stbreak","Run","Summer","Fall"
2010,4,96978,94.7811868327505,5.21881316724944
2010,5,123612,59.507,40.493
2010,6,24898,30.498,69.502
2010,7,103445,17.1677836955598,82.8322163044402
2010,8,148726,7.33785068936859,92.6621493106314
2010,9,57422,7.67392326076739,92.3260767392326
2011,1,340767,98.9125820893802,1.08741791061978
2011,2,694097,99.0805233087018,0.91947669129819
2011,3,846330,98.1195160008507,1.88048399914927
2011,4,170307,90.1062834920906,9.89371650790947
2011,5,84492,68.4419315033061,31.5580684966939
2011,6,310670,14.55,85.45
2011,7,155765,3.95876812023481,96.0412318797652
2011,8,229760,3.01864729342823,96.9813527065718
2011,9,93190,4.16391093194603,95.836089068054
2012,1,306265,99.63347749161,0.366522508390003
2012,2,701574,99.239232261277,0.760767738722999
2012,3,881996,99.1657775303047,0.834222469695306
2012,4,246641,95.0950950950951,4.9049049049049
2012,5,161435,64.1242915105151,35.8757084894849
2012,6,195999,18.0905014933862,81.9094985066138
2012,7,48457,9.477124729823,90.522875270177
2012,8,317191,2.17040348071178,97.8295965192882
2012,9,55076,9.1,90.9
2013,1,558155,99.2985971943888,0.701402805611222
2013,2,1020802,99.1169239464526,0.883076053547345
2013,3,1049684,98.4889461075009,1.51105389249917
2013,4,221042,88.7219088536259,11.2780911463741
2013,5,127174,46.3,53.7
2013,6,90667,19.9655699427576,80.0344300572424
2013,7,209001,3.73943843119112,96.2605615688089
2013,8,317916,2.43955538293599,97.560444617064
2013,9,120537,3.3559664403356,96.6440335596644
2014,1,858505,99.3718976777559,0.628102322244132
2014,2,509155,99.0361059409586,0.963894059041439
2014,3,502230,98.9005597921317,1.09944020786826
2014,4,150419,79.048716179472,20.951283820528
2014,5,135400,24.8572485724857,75.1427514275143
2014,6,87614,11.426,88.574
2014,7,34604,6.63869403703458,93.3613059629654
2014,8,394996,4.48792561273609,95.5120743872639
2014,9,54016,9.26690733092669,90.7330926690733
2015,1,404743,99.5119951199512,0.4880048800488
2015,2,456258,96.543,3.457
2015,3,583001,96.8817533983647,3.11824660163533
2015,4,147055,98.533,1.467
2015,5,183495,58.584800855433,41.415199144567
2015,6,106071,24.6248047014767,75.3751952985233
2015,7,151070,5.65759995444692,94.3424000455531
2015,8,137064,3.9865623785833,96.0134376214167
2015,9,91783,5.12,94.88
2016,1,725298,99.504,0.496
2016,2,434708,99.0879817596352,0.912018240364807
2016,3,517988,96.9540304596954,3.0459695403046
2016,4,243130,94.267,5.733
2016,5,351410,44.8007654398279,55.1992345601721
2016,6,91069,20.0082000820008,79.9917999179992
2016,7,50982,8.03889237503355,91.9611076249664
2016,8,431737,4.71195924731743,95.2880407526826
2016,9,69562,0.791007910079101,99.2089920899209
2017,1,1222769,99.4465293343072,0.553470665692805
2017,2,998747,98.8719403115776,1.12805968842238
2017,3,747192,96.419964199642,3.580035800358
2017,4,122556,98.5840141598584,1.4159858401416
2017,5,270581,53.4234706044623,46.5765293955377
2017,6,198017,23.9248718183128,76.0751281816872
2017,7,298858,2.74294308686005,97.2570569131399
2017,8,889167,1.37960113623327,98.6203988637668
2017,9,173308,3.54614717024452,96.4538528297555
2018,1,462685,99.2082475786714,0.791752421328592
2018,2,297452,99.0513152979304,0.948684702069578
2018,3,700364,99.1407101475128,0.859289852487246
2018,4,152187,98.880011199888,1.119988800112
2018,5,124047,79.2869691299223,20.7130308700777
2018,6,76679,34.857,65.143
2018,7,159733,14.1828780214483,85.8171219785517
2018,8,276584,2.35718948006628,97.6428105199337
2018,9,291621,2.18433758885677,97.8156624111433
2019,1,48653,99.5240095198096,0.475990480190396
2019,2,192347,99.1328383315608,0.867161668439219
2019,3,952962,99.0156710143874,0.984328985612581
2019,4,208963,98.604,1.396
2019,5,217026,85.9239105084184,14.0760894915817
2019,6,101249,36.537,63.463
2019,7,141602,34.3645830567365,65.6354169432635
2019,8,194643,9.65504534455388,90.3449546554461
2019,9,187521,1.125,98.875
2020,1,29896,99.251,0.749
2020,2,235271,99.251,0.749
2020,3,270922,99.65,0.35
2020,4,154902,97.753,2.247
2020,5,65333,55.345,44.655
2020,6,64443,51.134487253304,48.865512746696
2020,7,42045,12.4931249312493,87.5068750687507
2020,8,30730,6.20386889343674,93.7961311065633
2020,9,59704,3.94171642544069,96.0582835745593
2021,1,16502,99.2839928399284,0.716007160071601
2021,2,13841,99.2839928399284,0.716007160071601
2021,3,76296,99.1364034801146,0.863596519885457
2021,4,46992,99.047,0.953
2021,5,31793,63.974,36.026
2021,6,33236,63.974,36.026
2021,7,18149,6.627,93.373
2021,8,29687,5.29821972580591,94.7017802741941
2021,9,33332,2.752,97.248
2022,1,13201,99.093,0.907
2022,2,139944,99.093,0.907
2022,3,160442,99.320013599728,0.679986400271995
2022,4,150217,98.471,1.529
2022,5,75093,85.129,14.871
2022,6,25474,14.2116298186386,85.7883701813614
2022,7,95871,9.617,90.383
2022,8,88907,11.8792037656952,88.1207962343048
2022,9,40372,5.30105301053011,94.6989469894699
