"Year","sf","Run","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
2016,1,1921748,0.000708184777358848,0.980600167672995,0.000458103334952764,0.75703962783007,0.223560539842925,0.000250081442406084,0.176790948974277,0.0467695908686478,0.0193998323270054,0.00289581346172669,0.0137815934598025,0.00201424062811743,0.000496555209186648,0.00151768541893078,0.0166774069215291,0.00222587019628963,0.0165040188652787,0.997277574594524,0.00272242540547628,,,,0.933830576804347
2017,1,3093735,0.000762959230753412,0.984958810313693,0.000353069776955209,0.783143151190882,0.201815659122811,0.000409889453798203,0.156570512737402,0.045245146385409,0.0150411896863073,0.00212035099930123,0.00756372160285928,0.00459415785339341,0.000656135347189163,0.00393802250620425,0.00968407260216051,0.00470098173695766,0.0129208386870061,0.994642882915853,0.00535711708414682,,,,0.939713663928284
2018,1,1612688,0.000686585791286867,0.991189966411157,0.000336548959011367,0.660635282574366,0.330554683836791,0.000350036832275499,0.266277724667797,0.0642769591689933,0.00881003358884323,0.00351207756847456,0.00204145659051946,0.00256991363856235,0.000920276657142847,0.0016496369814195,0.00555353415899402,0.00233622277270637,0.00529795602036867,0.996743500570151,0.00325649942984922,,,,0.926913007242164
2019,1,1402925,0.000534391938357018,0.989880465619621,0.000349236427931542,0.745054200411209,0.244826265208412,0.000185155510425477,0.180507813124367,0.0643184520840449,0.010119534380379,0.00390571153553371,0.00307730061391538,0.00260213029257287,0.00130056523944371,0.00130156505312916,0.00698301214944908,0.00183595699148618,0.00621382284484527,0.99686347776907,0.00313652223092989,,,,0.925562013535576
2020,1,690991,0.000751720514449537,0.990716267259632,0.000321854669597723,0.858170428500516,0.132545838759116,0.000429865844851814,0.0943631676823577,0.0381826710767579,0.00928373274036854,0.00185415064740351,0.00344226244625473,0.00323559913226077,0.00104974183455356,0.00218585729770721,0.00529641309365824,0.00293757781215674,0.00742958209296503,0.99601268035329,0.0039873196467103,,,,0.952533596182874
2021,1,153718,0.000603114397536981,0.991382893742947,0.000386965577317856,0.791910888892317,0.19947200485063,0.000216148820219125,0.175678211047621,0.0237937938030091,0.0086171062570525,0.00180245524041131,0.00213222802753665,0.00407930859156755,0.00054280952102382,0.00353649907054373,0.00393468326794797,0.00413961346808071,0.00681465101664119,0.995317577010895,0.00468242298910453,,,,0.967589099939938
2022,1,463806,0.000486537431140615,0.98970076928646,0.000313457034173202,0.762138181852509,0.22756258743395,0.000173080396967413,0.219194862684453,0.00836772474949676,0.0102992307135406,0.00755190073564496,0.00122243651087962,0.00103835603587536,0.000222767050249695,0.000815588985625668,0.00877433724652458,0.00130212641676628,0.0027473299778956,0.998475106532984,0.00152489346701598,,,,0.981333044536963
2023,1,845988,0.000634903061270217,0.986526734882901,0.000366177832237789,0.777332941823493,0.209193793059408,0.000268725229032428,0.166100211226612,0.0430935818327964,0.0134732651170989,0.00198852253884278,0.00899295086991763,0.00185688864706823,0.000309055905446455,0.00154783274162177,0.0109814734087604,0.00218273580289199,0.0114847425782561,0.997508208291662,0.00249179170833844,,,,0.943433153050105
2024,1,757817,0.000734439706911045,0.9873319777332,0.00032369781412226,0.87795012912128,0.109381848611921,0.000410741892788785,0.0806550769839218,0.0287267716279987,0.0126680222667994,0.00152737535595262,0.00803823960017893,0.00236796760375685,0.000447760796083222,0.00192020680767363,0.00956561495613155,0.00265464651458467,0.0111406469108468,0.996897592689332,0.0031024073106679,,,,0.958605206105202
1999,2,282241,0.0340174952052134,0.240428895385375,0.0339980882010759,0.200590343052387,0.0398385523329888,0.0000194070041375085,,,0.759571104614625,0.267118446433626,,,,,,,0.492452658180999,,,0.0250932563497984,0.242025190083827,0.458435162975785,
2000,2,111451,0.215958359799411,0.129250197788989,0.200993290730415,0.101616486113006,0.0276337116759832,0.0149650690689964,,,0.870749802211011,0.000255394747467497,,,,,,,0.870494407463543,,,0.000255394747467497,0,0.654536047664132,
2001,2,260524,0.129317579128405,0.203637370519306,0.104926817048903,0.116225698371068,0.0874116721482377,0.0243907620795013,,,0.796362629480694,0.0790772017165405,,,,,,,0.717285427764153,,,0.0539828937065299,0.0250943080100106,0.587967848635749,
2002,2,150467,0.158978020497777,0.208694635799767,0.141862801878412,0.20132968015021,0.00736495564955657,0.017115218619365,,,0.791305364200233,0.17173642448445,,,,,,,0.619568939715783,,,0.14827720132185,0.0234592231625994,0.460590919218007,
2004,2,633368,0.105044612553573,0.135463642946353,0.101311583920297,,,0.00373302863327595,,0.0165290236312693,0.864536357053647,0.314880331423316,0.273579820170534,0.171031592906224,0.069958961068574,0.10107263183765,0.58846015159385,0.206117244391222,0.54965602563033,0.723923794540204,0.276076205459796,,,,0.118934619315084
2005,2,1893688,0.117251017249571,0.112922754561243,0.100026267771084,,,0.017224749478487,,0.0226420131893964,0.887077245438757,0.206279466144848,0.426372158218178,0.137174603826159,0.0227458116866096,0.114428792139549,0.632651624363026,0.23167980938912,0.680797779293908,0.74557437892427,0.25442562107573,,,,0.090280741371847
2006,2,964238,0.109394705915159,0.182257776827014,0.104149706639917,,,0.00524499927524229,,0.0278074667824916,0.817742223172986,0.168269500011022,0.360990344475271,0.179087672771535,0.0230053647743452,0.156082307997189,0.529259844486293,0.265477013912348,0.649472723161964,0.711517621313307,0.288482378686693,,,,0.154450310044522
2007,2,740195,0.137529343872853,0.211732861625591,0.136548484992821,,,0.000980858880032653,,0.0337136229041618,0.788267138374409,0.229354470739045,0.256594923551977,0.164788400210534,0.0239797171937827,0.140808683016751,0.485949394291022,0.278338026889604,0.558912667635364,0.697682255916613,0.302317744083387,,,,0.178019238721429
2008,2,636525,0.152956246189051,0.161563474318486,0.146458995315566,0.0693185585092906,0.0922449158091959,0.00649725087348478,0.0485849778993805,0.0436599379098154,0.838436525681514,0.21816297987024,0.312411337330928,0.154905962291294,0.0166166020967428,0.138289360194552,0.530574317201168,0.291245606383602,0.620273545811273,0.692137791519655,0.307862208480345,,,,0.117903536408671
2009,2,274227,0.09295752477168,0.243910866076372,0.0874608288560801,0.132453404513062,0.11145746156331,0.0054966959155999,0.0674088643208321,0.0440485972424781,0.756089133923628,0.194563954907956,0.300154694170158,0.168412960073834,0.0309044682942879,0.137508491779547,0.494718649078114,0.230466016551227,0.561525179015672,0.738629515154485,0.261370484845515,,,,0.199862268833894
2010,2,458103,0.127785854591454,0.249354862890966,0.125706448282055,0.124736850551797,0.124618012339168,0.0020794063093995,0.0866951889072059,0.0379228234319625,0.750645137109034,0.241599872416041,0.196146918731386,0.185112491370154,0.0735956674673852,0.111516823902768,0.437746791147427,0.239302678494222,0.509045264692994,0.687101654038392,0.312898345961608,,,,0.211432039459003
2011,2,873877,0.156428000431851,0.137333754689869,0.144561638582452,0.0735470947519624,0.0637866599379063,0.0118663618493987,0.0379062434920386,0.0258804164458677,0.862666245310131,0.133434490513183,0.383901695872445,0.188902058492652,0.0688131166898081,0.120088941802844,0.517336186385628,0.276516942234695,0.729231754796948,0.654669941075497,0.345330058924503,,,,0.111453338244001
2012,2,778158,0.102143075060596,0.199785677017851,0.0959131255296944,0.0980343728966926,0.101751304121158,0.00622994953090127,0.0678284804663098,0.0339228236548485,0.800214322982149,0.259619683638517,0.318391426502927,0.12006013778011,0.00727025323869924,0.112789884541411,0.578011110141444,0.214932959602006,0.540594639343632,0.777796787159295,0.222203212840705,,,,0.165862853363002
2013,2,865295,0.143156678661003,0.111638374398299,0.138174280785278,0.0357858505444564,0.0758525238538422,0.0049823978757251,0.0648559489713184,0.0109965748825238,0.888361625601701,0.330750371525059,0.236781478135629,0.17767309728001,0.0299850655137882,0.147688031766222,0.567531849660688,0.290844710427225,0.557611254076642,0.679170224058987,0.320829775941013,,,,0.100641799515775
